Справочник БИК;;;;;;;;;;
Актуально на 28.05.2023. Всего записей — 1397.;;;;;;;;;;
Подготовлено сайтом bik10.ru;;;;;;;;;;
Справочник БИК онлайн;;;;;;;;;;
БИК;Регион;Почтовый индекс;Город;Адрес;Наименование;Телефон;Корреспондентский счет;Регистрационный номер;Тип организации;Дата внесения
049849000;98;678960;Нерюнгри;пр-т Ленина, 25;РКЦ НЕРЮНГРИ;(41147)47719,41660;;;Расчетно-кассовый центр;1994-01-20
046014000;60;346500;Шахты;ул Советская, 161;РКЦ ШАХТЫ;(8636)224510,258328;;;Расчетно-кассовый центр;1994-01-20
047144000;71;628412;Сургут;пр-д Советов, 2;РКЦ СУРГУТ;(3462)241659;;;Расчетно-кассовый центр;1994-01-20
040495000;04;663300;Норильск;Ленинский пр-т, 18;РКЦ НОРИЛЬСК;(3919)462231,462039;;;Расчетно-кассовый центр;1994-01-20
048717000;87;169310;Ухта;ул Первомайская, 47;РКЦ УХТА;(8216)750824,760708;;;Расчетно-кассовый центр;1994-01-20
047749000;77;689202;Эгвекинот;ул Ленина, 9 А;РКЦ ЭГВЕКИНОТ;(42734)22213,23039;;;Расчетно-кассовый центр;1994-01-20
047728000;77;689450;Билибино;ул Ленина, 6 А;РКЦ БИЛИБИНО;(42738)26158,25808;;;Расчетно-кассовый центр;1994-01-20
047117000;71;626152;Тобольск;ул Семена Ремезова, 22;РКЦ ТОБОЛЬСК;(3456)252149,252196;;;Расчетно-кассовый центр;1994-01-20
041106000;11;165300;Котлас;ул Ленина, 74;РКЦ КОТЛАС;(81837)25787,24726;;;Расчетно-кассовый центр;1994-01-20
048082000;80;453120;Стерлитамак;пр-т Октября, 43 А;РКЦ СТЕРЛИТАМАК;(3473)247911,243427;;;Расчетно-кассовый центр;1994-01-20
048086000;80;453500;Белорецк;ул 5 Июля, 12;РКЦ БЕЛОРЕЦК;(34792)44199,44793;;;Расчетно-кассовый центр;1994-01-20
047173000;71;628310;Нефтеюганск;мкр 16. зд 20;РКЦ НЕФТЕЮГАНСК;(3463)277545,277580;;;Расчетно-кассовый центр;1994-01-20
048606000;86;186790;Сортавала;ул Вяйнемяйнена, 4;РКЦ СОРТАВАЛА;(81430)47501,47342;;;Расчетно-кассовый центр;1994-01-20
041013000;10;676282;Тында;ул Красная Пресня, 22;РКЦ ТЫНДА;(41656)43029,42535;;;Расчетно-кассовый центр;1994-01-20
045339000;53;462420;Орск;улица Машиностроителей, здание 61;РКЦ ОРСК;(3537)258816,254816;;;Расчетно-кассовый центр;1994-01-20
045306000;53;461040;Бузулук;ул. Галактионова, зд. №30;РКЦ БУЗУЛУК;(35342)23806,23565;;;Расчетно-кассовый центр;1994-01-20
046404000;64;694530;Курильск;ул Сахалинская, 1 А;РКЦ КУРИЛЬСК;(42454)42219,42022;;;Расчетно-кассовый центр;1994-01-20
044703000;47;184511;Мончегорск;Комсомольская наб, 1;РКЦ МОНЧЕГОРСК;(81536)30363,33245;;;Расчетно-кассовый центр;1994-01-20
043015000;30;684300;Мильково;ул Ленинская, 33;РКЦ МИЛЬКОВО;(41533)22260,21009;;;Расчетно-кассовый центр;1994-01-20
047888728;78;150000;Ярославль;ул Собинова, 30;"ИКБР ""ЯРИНТЕРБАНК"" (ООО)";(4852)328658,725556;30101810300000000728;2564;Банк;1994-01-20
043209706;32;654041;Новокузнецк;ул Кутузова, 31;"""БСТ-БАНК"" АО";(3843)778888,772281;30101810000000000706;2883;Банк;1994-07-29
040396055;03;384900;Сухум;пр-т Леона, 14;НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ АБХАЗИЯ;(840)2297602,2297622;30111810000000000055;;Банк;2012-03-23
049033199;90;100001;Цхинвал;ул Сталина, 20;НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ ЮЖНАЯ ОСЕТИЯ;(929)8068833;30111810990330000199;;Банк;2016-06-01
046014718;60;346500;Шахты;пр-т Красной Армии, 140;"МКБ ""ДОН-ТЕКСБАНК"" ООО";(8636)224671;30101810500000000718;1818;Банк;1994-01-20
045853774;58;182110;Великие Луки;ул Карла Либкнехта, 15;"АО КБ ""ВАКОБАНК""";(81153)52038,51583;30101810200000000774;1291;Банк;1994-01-20
049205795;92;420081;Казань;пр-т Альберта Камалеева, 16 А;"ООО""АВТОКРЕДИТБАНК""";(843)2949880,2949881;30101810000000000795;1973;Банк;1994-01-20
044959775;49;173004;Великий Новгород;ул Черемнова-Конюхова, 12;"АО НКБ ""СЛАВЯНБАНК""";(8162)665247;30101810900000000775;804;Банк;1994-01-20
045853729;58;182110;Великие Луки;ул Комсомольская, 27 А;"АО ""ВЕЛИКИЕ ЛУКИ БАНК""";(81153)57129,52918;30101810200000000729;598;Банк;1994-01-20
044525275;45;119049;Москва;ул. Шаболовка, д. 10, корп. 2;"АКБ ""ПЕРЕСВЕТ"" (ПАО)";(495)9740409;30101810145250000275;2110;Банк;1994-01-20
044525747;45;125047;Москва;ул. 1-я Брестская, д. 22;"МКИБ ""РОССИТА-БАНК"" ООО";(495)9334600;30101810945250000747;3257;Банк;1995-09-22
044525273;45;119049;Москва;ул. Мытная, д. 1, стр.1, этаж 2, помещение I;"АО ""МТИ Банк""";(495)4423083;30101810545250000273;1052;Банк;1994-01-20
044525371;45;111024;Москва;шоссе Энтузиастов, д. 17, стр. 1;"ООО МИБ ""ДАЛЕНА""";(495)6731010;30101810845250000371;1948;Банк;2016-06-06
041708706;17;600015;Владимир;пр-т Ленина, 35;"АО ""ВЛАДБИЗНЕСБАНК""";(4922)541865,542427;30101810100000000706;903;Банк;1994-01-20
044525852;45;119435;Москва;Большой Саввинский пер., д.2-4-6, стр. 10;"КБ ""НМБ"" ООО";(495)6057845;30101810445250000852;2932;Банк;1994-07-29
044525466;45;115184;Москва;Озерковский переулок, дом 3;"АО КБ ""РУСНАРБАНК""";(495)6648800;30101810145250000466;3403;Банк;2002-06-28
044525624;45;117420;Москва;ул. Наметкина, д. 13Д;"АО ""ИШБАНК""";(495)2321234;30101810945250000624;2867;Банк;1994-09-20
044525409;45;125190;Москва;Ленинградский проспект, дом 80, корпус 16;"""СОЦИУМ-БАНК"" (ООО)";(495)7835546;30101810445250000409;2881;Банк;1994-07-29
044525550;45;127083;Москва;ул. Верхняя Масловка, д. 20, стр. 2;"АО КБ ""ЮНИСТРИМ""";(495)7445555;30101810145250000550;3467;Банк;2006-09-04
049205919;92;420124;Казань;ул Фатыха Амирхана, 15;"ООО ""АЛТЫНБАНК""";(843)5205420,5205377;30101810200000000919;2070;Банк;1994-01-20
044525583;45;123557;Москва;улица Климашкина, дом 21, строение 1;Банк РМП (АО);(495)7378643;30101810345250000583;2574;Банк;1994-03-01
044525214;45;107061;Москва;Преображенская пл., д. 8;"АО ""Почта Банк""";(495)6465814;30101810245250000214;650;Банк;2015-09-28
044525318;45;117292;Москва;ул. Кедрова, д. 5А;"АКБ ""СЛАВИЯ"" (АО)";(495)9692415;30101810345250000318;2664;Банк;1994-07-13
048860889;88;424006;Йошкар-Ола;ул Панфилова, 39 Г;"БАНК ""ЙОШКАР-ОЛА"" (ПАО)";(8362)410822,429930;30101810300000000889;2802;Банк;1994-06-15
044525163;45;121099;Москва;Новинский бульвар, дом 8;"АО ""Ури Банк""";(495)7839787;30101810300000000163;3479;Банк;2007-12-20
044525192;45;123610;Москва;Краснопресненская набережная, дом 12;АО РОСЭКСИМБАНК;(495)9670767;30101810545250000192;2790-Г;Банк;1994-06-15
044525490;45;117485;Москва;ул. Обручева, д. 30/1, стр. 2;АО МС Банк Рус;(495)2870480;30101810645250000490;2789;Банк;1994-06-15
044525630;45;127273;Москва;улица Отрадная, дом 2Б, строение 1;"АО ""Тойота Банк""";(495)6441000;30101810600000000630;3470;Банк;2007-07-12
044525444;45;115035;Москва;Садовническая улица, дом 82, строение 2;"ООО НКО ""ЮМани""";(495)7392325;30103810945250000444;3510-К;Банк;2012-09-24
044525476;45;119146;Москва;ул. 1-ая Фрунзенская, д. 5;"АО ""МОСКОМБАНК""";(495)6091919;30101810245250000476;3172;Банк;1995-02-01
044525739;45;121609;Москва;ш. Рублевское, д. 28;"ООО ""банк Раунд""";(495)9801924;30101810445250000739;2506;Банк;1994-01-20
044525051;45;109240;Москва;ул. Высоцкого, д.4;"ГК ""Агентство по страхованию вкладов""";(495)7253141;30127810945250000051;;Банк;2016-02-08
044525268;45;121467;Москва;ул. Молдавская, д. 5;"АО АКБ ""Алеф-Банк""";(495)4117747;30101810945250000268;2119;Банк;1994-01-20
044525333;45;107023;Москва;ул. Малая Семеновская, д.1, стр. 1;"НКО ""Альтернатива"" (ООО)";;30103810645250000333;3452-К;Банк;2021-05-20
044525402;45;115201;Москва;Старокаширское шоссе, дом 2, корпус 1, строение 1;Банк ИПБ (АО);(495)4110000;30101810100000000402;600;Банк;1994-01-20
044525771;45;123290;Москва;1-ый Магистральный тупик, дом 11, строение 1;"ООО ""Промсельхозбанк""";(495)6651562;30101810445250000771;538;Банк;1994-01-20
044525182;45;115054;Москва;ул. Дубининская, д. 57, стр. 1;"АО ""НДБанк""";(495)9819884;30101810445250000182;2374;Банк;1994-01-20
044525588;45;115035;Москва;Кадашевская набережная, дом  26;Джей энд Ти Банк (АО);(495)6624545;30101810845250000588;3061;Банк;1995-02-01
044525674;45;105064;Москва;Малый Казенный пер., д. 14, стр.1;"""Русьуниверсалбанк"" (ООО)";(495)9177191;30101810445250000674;3293;Банк;1996-10-01
044525176;45;119180;Москва;ул. Большая Полянка, д. 47, строение 2;"ПАО АКБ ""Металлинвестбанк""";(800)2509797;30101810300000000176;2440;Банк;1994-01-20
044525678;45;125009;Москва;Пер. Гнездниковский Б., д. 7;"ООО НКО ""МОБИ.Деньги""";(495)7921536;30103810245250000678;3523-К;Банк;2014-01-17
044525413;45;119121;Москва;2-й Неопалимовский переулок, дом 10;"""Нацинвестпромбанк"" (АО)";(495)7862173;30101810745250000413;3077;Банк;1994-11-15
044525808;45;123317;Москва;ул. Тестовская, д. 10;"ООО ""КЭБ ЭйчЭнБи Банк""";(495)9884701;30101810500000000808;3525;Банк;2014-07-17
044525901;45;119002;Москва;ул. Арбат, д. 43, стр. 3;"АО КБ ""Соколовский""";(495)5029480;30101810545250000901;2830;Банк;1994-07-13
044525500;45;109147;Москва;Марксистская ул., дом 16;"""Коммерческий Индо Банк"" ООО";(495)7354335;30101810400000000500;3446;Банк;2004-02-19
044525097;45;123007;Москва;1-я Магистральная улица, д. 13, стр.2;"ООО ""АТБ"" Банк";(495)7305115;30101810145250000097;2776;Банк;1994-05-10
044525203;45;127473;Москва;улица Селезнёвская, дом 15А, строение 1;"АО ""ПроБанк""";(499)9731414;30101810845250000203;3296;Банк;1996-09-10
044525082;45;119049;Москва;Ленинский проспект, дом 11, строение 3;"КБ ""РБА"" (ООО)";(495)2760366;30101810545250000082;3413;Банк;2002-09-13
044525683;45;105005;Москва;ул. Бауманская, д. 54, стр. 1;"ООО КБ ""Столичный Кредит""";(495)2290050,7950760;30101810000000000683;2853;Банк;1994-11-15
044525451;45;119285;Москва;Воробьёвское шоссе, дом 6;"Банк ""РЕСО Кредит"" (АО)";(495)7307755;30101810545250000451;3450;Банк;2004-04-05
049205770;92;420111;Казань;ул Пушкина, 13/52;"АКБ ""Энергобанк"" (АО)";(843)2932281,2932291;30101810300000000770;67;Банк;1994-01-20
044525196;45;121099;Москва;пер. Николощеповский 1-й, д.6, стр.1;"""Банк Кремлевский"" ООО";(499)2418814;30101810745250000196;2905;Банк;1994-07-29
044525278;45;125047;Москва;Миусская площадь, дом 2;"АО ""НК Банк""";(495)4118844;30101810045250000278;2755;Банк;1995-12-14
044525125;45;117292;Москва;ул. Ивана Бабушкина, д.16А;"ООО РНКО ""Металлург""";;30103810345250000125;2877-К;Банк;2021-05-26
044525234;45;119180;Москва;2-й Казачий пер., д. 3, стр. 1;Азия-Инвест Банк (АО);(495)3633701;30101810445250000234;3303;Банк;1996-12-31
044525984;45;105064;Москва;Нижний Сусальный переулок, дом 5, строение 15;"АО Банк ""Развитие-Столица""";(495)9379150;30101810000000000984;3013;Банк;1994-10-11
044525326;45;115093;Москва;ул. Дубининская, д.94;"АКБ ""Трансстройбанк"" (АО)";(495)7863757,7863773;30101810845250000326;2807;Банк;1994-06-15
044525646;45;125009;Москва;Большой Кисловский переулок, дом 13;НКО НКЦ (АО);(495)7829794;30103810345250000646;3466-ЦК;Банк;2015-06-05
044525800;45;115114;Москва;2-й Кожевнический пер., д. 7;"АО БАНК ""МОСКВА-СИТИ""";(495)9818501;30101810345250000800;3247;Банк;1995-09-22
044525860;45;109004;Москва;ул. Воронцовская, д. 13/14, стр. 1;"""Республиканский Кредитный Альянс"" ООО";(495)9112183;30101810945250000860;3017;Банк;1994-09-20
044525361;45;125009;Москва;Романов пер., 4, стр.2;"АО ""Эм-Ю-Эф-Джи Банк (Евразия)""";(495)2258999;30101810500000000361;3465;Банк;2006-10-02
044525254;45;123317;Москва;Красногвардейский бульвар, д. 7, стр. 1;"АО КБ ""КОСМОС""";(495)7928892;30101810645250000254;2245;Банк;1995-03-13
044525985;45;115114;Москва;ул. Летниковская, д. 2, стр. 4;"ПАО Банк ""ФК Открытие""";(495)7377355;30101810300000000985;2209;Банк;1994-01-20
044525435;45;105118;Москва;улица Вольная, дом 13;"КБ ""Максима"" (ООО)";(499)1668515;30101810545250000435;3379;Банк;2001-10-19
044525631;45;129110;Москва;Проспект Мира, д. 69, стр. 1;"АО ""БКС Банк""";;30101810145250000631;101;Банк;2019-03-18
044525934;45;115201;Москва;ул. Котляковская, д. 8.;"НКО ""ИНКАХРАН"" (АО)";(495)2580859;30103810345250000934;3454-К;Банк;2005-08-29
044525159;45;125167;Москва;Ленинградский проспект, дом 39А;"""Мерседес-Бенц Банк Рус"" ООО";(495)7979911;30101810000000000159;3473;Банк;2007-09-24
044705768;47;183038;Мурманск;ул. Челюскинцев, 17/24;"БАНК ""МСКБ"" (АО)";(8152)230334;30101810600000000768;2722;Банк;1994-07-13
044525148;45;127030;Москва;ул. Сущевская, д.27, стр. 1;Банк СОЮЗ (АО);(495)7295555;30101810845250000148;2307;Банк;1994-03-29
044525460;45;107078;Москва;ул. Каланчевская, д.  29, стр.  2;"АО ""Экспобанк""";(495)2311111;30101810345250000460;2998;Банк;1995-01-26
042202731;22;607220;Арзамас;ул Кирова, 33;"АО КОМБАНК ""АРЗАМАС""";(83147)70224,70177;30101810522020000731;1281;Банк;1994-01-20
047501787;75;454138;Челябинск;ул Молодогвардейцев, 17 Б;"АО ""УГЛЕМЕТБАНК""";(351)2474979,2474989;30101810275010000787;2997;Банк;1995-02-28
047516949;75;455044;Магнитогорск;ул Гагарина, 17;"БАНК ""КУБ"" (АО)";(3519)248910,248930;30101810700000000949;2584;Банк;1994-01-20
046577904;65;620014;Екатеринбург;ул 8 Марта, 13;"ПАО ""БАНК ""ЕКАТЕРИНБУРГ""";(343)3776655,3554745;30101810500000000904;3161;Банк;1995-01-18
045773705;57;614096;Пермь;ул Ленина, 68;"АО АКИБ ""ПОЧТОБАНК""";(342)2360864;30101810400000000705;1788;Банк;1994-01-20
045209702;52;644024;Омск;ул. Думская, 7;"АО ""ИТ Банк""";;30101810750045209702;2609;Банк;2018-09-07
048209395;82;367003;Махачкала;ул Ирчи Казака, 2 Б;"РНКО ""ПРОМСВЯЗЬИНВЕСТ"" (ООО)";(8722)507179,517044;30103810982090000395;2761-К;Банк;1994-11-15
044705301;47;183071;Мурманск;ул Старостина, 21;"ООО НКО ""МУРМАНСКИЙ РАСЧЕТНЫЙ ЦЕНТР""";(8152)994606;30103810900000000301;3341-К;Банк;1999-08-27
049401758;94;426009;Ижевск;ул Совхозная, 34;"ООО ПНКО ""ЭЛПЛАТ""";(3412)601501,561688;30103810822029400758;3535-К;Банк;2016-09-07
043209740;32;654080;Новокузнецк;ул. Кирова, 89б;"АО ""КУЗНЕЦКБИЗНЕСБАНК""";(3843)763240,766090;30101810600000000740;1158;Банк;1994-01-20
040349966;03;350000;Краснодар;ул Красная, 113;ЮГ-ИНВЕСТБАНК (ПАО);(861)2596656,2596657;30101810600000000966;2772;Банк;1998-01-15
046902728;69;634061;Томск;пр-т Фрунзе, 90;"ПАО ""ТОМСКПРОМСТРОЙБАНК""";(3822)265931,265528;30101810500000000728;1720;Банк;1994-01-20
041203715;12;414000;Астрахань;ул Ногина, 3;АО ЕАТПБАНК;(8512)513001;30101810400000000715;1765;Банк;1994-01-20
049805770;98;677000;Якутск;пр-т Ленина, 1;"АКБ ""АЛМАЗЭРГИЭНБАНК"" АО";(4112)425425,342222;30101810300000000770;2602;Банк;1994-01-20
041806831;18;400005;Волгоград;ул 7-ой Гвардейской, 2;АО НОКССБАНК;(8442)238822,235622;30101810000000000831;3202;Банк;1995-03-27
048327741;83;360051;Нальчик;ул Толстого, 77;"БАНК ""НАЛЬЧИК"" ООО";(8662)440569,440518;30101810700000000741;695;Банк;1994-01-20
044525517;45;115093;Москва;ул. Щипок, д. 4, стр. 1;"КБ ""Новый век"" (ООО)";(495)2230063;30101810845250000517;3417;Банк;2002-10-07
042520872;25;664025;Иркутск;ул Ленина, 18;"КБ ""Байкалкредобанк"" (АО)";(3952)241602,330278;30101810900000000872;2990;Банк;1994-10-25
043469751;34;156005;Кострома;Октябрьская пл, 1;"АО КБ ""МОДУЛЬБАНК""";(4942)394905,394900;30101810800000000751;1927;Банк;1994-01-20
040507717;05;690091;Владивосток;ул Семёновская, 6 Г;"ООО ""Примтеркомбанк""";(423)2269831,2221537;30101810600000000717;21;Банк;1994-01-20
046126744;61;390000;Рязань;ул Почтовая, 64;"ООО ""ЖИВАГО БАНК""";(4912)289525,254379;30101810700000000744;2065;Банк;1994-01-20
046126701;61;390046;Рязань;ул Введенская, 110;"БАНК ""ВЯТИЧ"" (ПАО)";(4912)219409,219407;30101810400000000701;2796;Банк;1994-06-15
042809953;28;172002;Торжок;пл Ананьина, 3;"АО ""Банк ""Торжок""";(48251)91730,91842;30101810928090000953;933;Банк;2015-11-16
040507707;05;690001;Владивосток;ул Махалина, 15;"НКО ""РКЦ ДВ"" (АО)";(423)2648871;30103810305070000707;3318-Р;Банк;2016-04-27
040507750;05;690068;Владивосток;проспект 100-летия Владивостока, дом 155, литер Б;"АО ""Роял Кредит Банк""";(423)2308871,2308870;30101810105070000750;783;Банк;2017-04-10
042520840;25;664007;Иркутск;ул Дзержинского, 29;"ООО ""КРОНА-БАНК""";(3952)251610,251623;30101810000000000840;2499;Банк;1994-01-20
048405718;84;649000;Горно-Алтайск;Коммунистический пр-т, 26;"АКБ ""НООСФЕРА"" (АО)";(38822)26915,24602,23293;30101810100000000718;2650;Банк;1994-01-20
042908748;29;248001;Калуга;ул Суворова, 147;"ООО КБ ""КАЛУГА""";(4842)549425,774115;30101810100000000748;1151;Банк;1994-01-20
046850755;68;392000;Тамбов;ул Советская, 118;"АО БАНК ""ТКПБ""";(4752)559777;30101810600000000755;1312;Банк;1994-01-20
043469720;34;156013;Кострома;ул Калиновская, 36;"ООО ""КОСТРОМАСЕЛЬКОМБАНК""";(4942)490707,490726;30101810200000000720;1115;Банк;1994-01-20
046126708;61;390023;Рязань;ул Есенина, 82/26;ПРИО-ВНЕШТОРГБАНК (ПАО);(4912)244900,244914;30101810500000000708;212;Банк;1994-01-20
042406718;24;153000;Иваново;улица Палехская, дом 2;АО БАНК НБС;(4932)482593,482594;30101810000000000718;1949;Банк;1994-01-20
044525440;45;109240;Москва;ул. Верхняя Радищевская, д. 18, стр. 2;"ООО КБ ""ЭКО-ИНВЕСТ""";(495)9150738,9150535;30101810145250000440;3116;Банк;1995-07-27
043735830;37;640000;Курган;ул Гоголя, 78;"ООО БАНК ""КУРГАН""";(3522)600410;30101810700000000830;2568;Банк;1994-01-20
043735821;37;640002;Курган;ул Коли Мяготина, 124 А;"ООО КБ ""КЕТОВСКИЙ""";(3522)654545;30101810900000000821;842;Банк;1994-01-20
045773790;57;614000;Пермь;ул Ленина, 64;"АО КБ ""Урал ФД""";(342)2401001,2401083;30101810800000000790;249;Банк;1994-01-20
047102802;71;625048;Тюмень;ул Максима Горького, 68, к 2/1;"ООО КБ ""ДРУЖБА""";;30101810565777100802;990;Банк;2019-09-27
040507840;05;690106;Владивосток;пр-т Красного Знамени, 3;"АО КБ ""САММИТ БАНК""";(423)2468301,2468343;30101810905070000840;85;Банк;2015-04-24
047169742;71;628624;Нижневартовск;ул Мира, 68;"АО БАНК ""ЕРМАК""";(3466)465749,465585;30101810000000000742;1809;Банк;1994-01-20
